pos,word,tone
adj_pos1,작고,cute
adj_pos1,빠르고,strong
adj_pos1,용감하고,strong
adj_pos1,차분하고,norm
adj_pos1,부드럽고,cute
adj_pos1,반짝이고,cute
adj_pos1,푸르고,norm
adj_pos1,따뜻하고,norm
adj_pos1,상냥하고,norm
adj_pos1,귀엽고,cute
adj_pos1,성실하고,norm
adj_pos1,정직하고,norm
adj_pos1,부지런하고,norm
adj_pos1,친절하고,norm
adj_pos1,달콤하고,cute
adj_pos1,재밌고,norm
adj_pos1,온화하고,norm
adj_pos1,명랑하고,norm
adj_pos1,활기차고,norm
adj_pos1,든든하고,norm
adj_pos1,산뜻하고,norm
adj_pos1,유쾌하고,norm
adj_pos1,따사롭고,norm
adj_pos1,가뿐하고,norm
adj_pos1,깔끔하고,norm
adj_pos1,단정하고,norm
adj_pos1,우아하고,norm
adj_pos1,순하고,norm
adj_pos1,정갈하고,norm
adj_pos1,날렵하고,norm
adj_pos1,수줍고,norm
adj_pos1,씩씩하고,strong
adj_pos1,엉뚱하고,norm
adj_pos1,진지하고,norm
adj_pos1,똑똑하고,norm
adj_pos1,영리하고,intel
adj_pos1,열정적이고,norm
adj_pos1,매력적이고,norm
adj_pos1,다정하고,norm
adj_pos1,느긋하고,norm
adj_pos1,화사하고,norm
adj_pos1,경쾌하고,norm
adj_pos1,시원하고,norm
adj_pos1,포근하고,norm
adj_pos1,의젓하고,norm
adj_pos1,꼼꼼하고,norm
adj_pos1,정성스럽고,norm
adj_pos1,우직하고,strong
adj_pos1,건강하고,norm
adj_pos1,유능하고,norm
adj_pos1,세심하고,norm
adj_pos1,활달하고,norm
adj_pos1,독특하고,cute
adj_pos1,근엄하고,strong
adj_pos1,온순하고,norm
adj_pos1,가볍고,norm
adj_pos1,중후하고,strong
adj_pos1,따끈하고,norm
adj_pos1,말끔하고,norm
adj_pos1,수수하고,norm
adj_pos1,단순하고,norm
adj_pos1,청순하고,norm
adj_pos1,정열적이고,norm
adj_pos1,짜릿하고,norm
adj_pos1,흐뭇하고,norm
adj_pos1,엄격하고,norm
adj_pos1,자상하고,norm
adj_pos1,수줍어하고,norm
adj_pos1,순박하고,norm
adj_pos1,화끈하고,norm
adj_pos1,화려하고,norm
adj_pos1,단아하고,norm
adj_pos1,당당하고,norm
adj_pos1,의욕적이고,norm
adj_pos1,경건하고,norm
adj_pos1,청명하고,norm
adj_pos1,청량하고,norm
adj_pos1,상큼하고,norm
adj_pos1,야무지고,norm
adj_pos1,강인하고,strong
adj_pos1,튼튼하고,strong
adj_pos1,단단하고,strong
adj_pos1,강력하고,strong
adj_pos1,거칠고,strong
adj_pos1,조용하고,cute
adj_pos1,느리고,cute
adj_pos1,총명하고,intel
adj_pos1,현명하고,intel
adj_pos1,명석하고,intel
adj_pos1,지혜롭고,intel
adj_pos1,통찰력있고,intel
adj_pos1,분석적이고,intel
adj_pos1,사려깊고,intel
adj_pos1,이해심있고,intel
adj_pos1,창의적이고,intel
adj_pos1,독창적이고,intel
adj_pos1,호기심많고,intel
adj_pos2,상냥한
adj_pos2,용감한
adj_pos2,차분한
adj_pos2,부드러운
adj_pos2,반짝이는
adj_pos2,푸른
adj_pos2,따뜻한
adj_pos2,빠른
adj_pos2,귀여운
adj_pos2,작은
adj_pos2,큰
adj_pos2,날씬한
adj_pos2,둥근
adj_pos2,예쁜
adj_pos2,멋진
adj_pos2,화려한
adj_pos2,차가운
adj_pos2,시원한
adj_pos2,강한
adj_pos2,약한
adj_pos2,거친
adj_pos2,조용한
adj_pos2,느린
adj_pos2,똑똑한
adj_pos2,순한
adj_pos2,영리한
adj_pos2,단단한
adj_pos2,날카로운
adj_pos2,부러운
adj_pos2,달콤한
adj_pos2,상큼한
adj_pos2,싱거운
adj_pos2,진한
adj_pos2,밝은
adj_pos2,어두운
